Version,Date_of_report,Date_of_statistics,Populatie,Region_level,Region_code,Region_name,Birth_year,Vaccination_coverage_partly,Vaccination_coverage_completed,Age_group
4,2022-08-10T10:30:00Z,2022-08-01,2842,Gemeente,GM0281,Tiel,2005-2010,57,54,12-17
4,2022-08-10T10:30:00Z,2022-08-01,22192,Gemeente,GM0285,Voorst,<=2010,89,88,12+
4,2022-08-10T10:30:00Z,2022-08-01,20433,Gemeente,GM0285,Voorst,<2005,91,90,18+
4,2022-08-10T10:30:00Z,2022-08-01,1759,Gemeente,GM0285,Voorst,2005-2010,70,67,12-17
4,2022-08-10T10:30:00Z,2022-08-01,36453,Gemeente,GM0289,Wageningen,<=2010,85,83,12+
4,2022-08-10T10:30:00Z,2022-08-01,34361,Gemeente,GM0289,Wageningen,<2005,85,84,18+
4,2022-08-10T10:30:00Z,2022-08-01,2092,Gemeente,GM0289,Wageningen,2005-2010,72,69,12-17
4,2022-08-10T10:30:00Z,2022-08-01,13258,Gemeente,GM0293,Westervoort,<=2010,86,86,12+
4,2022-08-10T10:30:00Z,2022-08-01,12316,Gemeente,GM0293,Westervoort,<2005,88,87,18+
4,2022-08-10T10:30:00Z,2022-08-01,942,Gemeente,GM0293,Westervoort,2005-2010,63,61,12-17
4,2022-08-10T10:30:00Z,2022-08-01,26281,Gemeente,GM0294,Winterswijk,<=2010,86,85,12+
4,2022-08-10T10:30:00Z,2022-08-01,24272,Gemeente,GM0294,Winterswijk,<2005,88,87,18+
4,2022-08-10T10:30:00Z,2022-08-01,2009,Gemeente,GM0294,Winterswijk,2005-2010,65,62,12-17
4,2022-08-10T10:30:00Z,2022-08-01,37005,Gemeente,GM0296,Wijchen,<=2010,90,89,12+
4,2022-08-10T10:30:00Z,2022-08-01,34072,Gemeente,GM0296,Wijchen,<2005,91,90,18+
4,2022-08-10T10:30:00Z,2022-08-01,2933,Gemeente,GM0296,Wijchen,2005-2010,73,71,12-17
4,2022-08-10T10:30:00Z,2022-08-01,26260,Gemeente,GM0297,Zaltbommel,<=2010,76,75,12+
4,2022-08-10T10:30:00Z,2022-08-01,23913,Gemeente,GM0297,Zaltbommel,<2005,78,77,18+
4,2022-08-10T10:30:00Z,2022-08-01,2347,Gemeente,GM0297,Zaltbommel,2005-2010,52,51,12-17
