"variant2","collection_date_num","prob","SE","df","asymp.LCL","asymp.UCL","collection_date","variant"
"B.1.617.2 (delta)",18620.5,0.000821114580210964,0.000555950905573097,NA,-0.000268529171884735,0.00191075833230666,2020-12-24,"B.1.617.2 (delta)"
"other",18620.5,0.981679608642788,0.00187303390433568,NA,0.978008529648468,0.985350687637109,2020-12-24,"other"
"B.1.1.7 (alpha)",18621.5,0.0181089848721891,0.00183026049165022,NA,0.0145217402262281,0.0216962295181501,2020-12-25,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18621.5,0.000938748229133986,0.000409251332008768,NA,0.000136630357771757,0.00174086610049621,2020-12-25,"B.1.351 (beta)"
"P.1 (gamma)",18621.5,6.64892409652475e-07,1.31624413990973e-06,NA,-1.91489869943249e-06,3.24468351873744e-06,2020-12-25,"P.1 (gamma)"
"C.37 (lambda)",18621.5,4.03839536606825e-07,2.33727198280944e-06,NA,-4.1771293717742e-06,4.98480844498785e-06,2020-12-25,"C.37 (lambda)"
"B.1.617.2 (delta)",18621.5,0.000820303977678427,0.000542490970567912,NA,-0.000242958786572858,0.00188356674192971,2020-12-25,"B.1.617.2 (delta)"
"other",18621.5,0.980130894189052,0.00197056014707717,NA,0.976268667271411,0.983993121106693,2020-12-25,"other"
"B.1.1.7 (alpha)",18622.5,0.0197041110830224,0.00193715792855377,NA,0.0159073513106908,0.023500870855354,2020-12-26,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18622.5,0.00102249974512617,0.000433988161981488,NA,0.000171898577925718,0.00187310091232662,2020-12-26,"B.1.351 (beta)"
"P.1 (gamma)",18622.5,8.01265347045365e-07,1.55270273551872e-06,NA,-2.24197609326814e-06,3.84450678735887e-06,2020-12-26,"P.1 (gamma)"
"C.37 (lambda)",18622.5,4.07731490570961e-07,2.40752113915795e-06,NA,-4.31092323419747e-06,5.12638621533939e-06,2020-12-26,"C.37 (lambda)"
"B.1.617.2 (delta)",18622.5,0.000819447777656272,0.000529247606119461,NA,-0.000217858469241911,0.00185675402455446,2020-12-26,"B.1.617.2 (delta)"
"other",18622.5,0.978452732397358,0.00207322531252728,NA,0.974389285452967,0.982516179341748,2020-12-26,"other"
