"variant2","collection_date_num","prob","SE","df","asymp.LCL","asymp.UCL","collection_date","variant"
"C.37 (lambda)",18630.5,0.001,1.25834106832515e-12,NA,0.001,0.001,2021-01-03,"C.37 (lambda)"
"B.1.617.2 (delta)",18630.5,0.001,5.42289586538325e-05,NA,0.001,0.001,2021-01-03,"B.1.617.2 (delta)"
"other",18630.5,0.9210976916999,0.0057860286540931,NA,0.909757283924361,0.932438099475439,2021-01-03,"other"
"B.1.1.7 (alpha)",18631.5,0.0787927851160343,0.00567594170557289,NA,0.0676681437947626,0.089917426437306,2021-01-04,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18631.5,0.00423476272914622,0.00127370214502949,NA,0.00173835239785701,0.00673117306043543,2021-01-04,"B.1.351 (beta)"
"P.1 (gamma)",18631.5,0.001,1.12582306615583e-05,NA,0.001,0.001,2021-01-04,"P.1 (gamma)"
"C.37 (lambda)",18631.5,0.001,9.64839080037729e-13,NA,0.001,0.001,2021-01-04,"C.37 (lambda)"
"B.1.617.2 (delta)",18631.5,0.001,5.46750495454794e-05,NA,0.001,0.001,2021-01-04,"B.1.617.2 (delta)"
"other",18631.5,0.916954996451804,0.005848753584793,NA,0.90549165007116,0.928418342832447,2021-01-04,"other"
"B.1.1.7 (alpha)",18632.5,0.082941965171876,0.00573597918303611,NA,0.0716996525570537,0.0941842777866982,2021-01-05,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18632.5,0.00445064643962253,0.0012944242474361,NA,0.00191362153393241,0.00698767134531264,2021-01-05,"B.1.351 (beta)"
"P.1 (gamma)",18632.5,0.001,1.28166626192837e-05,NA,0.001,0.001,2021-01-05,"P.1 (gamma)"
"C.37 (lambda)",18632.5,0.001,7.43566521113342e-13,NA,0.001,0.001,2021-01-05,"C.37 (lambda)"
"B.1.617.2 (delta)",18632.5,0.001,5.51205522439825e-05,NA,0.001,0.001,2021-01-05,"B.1.617.2 (delta)"
"other",18632.5,0.912588476508048,0.00590764462457285,NA,0.901009705810423,0.924167247205672,2021-01-05,"other"
"B.1.1.7 (alpha)",18633.5,0.0873157912478834,0.00579231728277819,NA,0.0759630579866092,0.0986685245091575,2021-01-06,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18633.5,0.00467736535533527,0.00131465248940194,NA,0.00210069382392154,0.007254036886749,2021-01-06,"B.1.351 (beta)"
"P.1 (gamma)",18633.5,0.001,1.4575369603971e-05,NA,0.001,0.001,2021-01-06,"P.1 (gamma)"
