Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,Sample_size,Variant_cases
1,2021-09-16T12:56:39Z,2021-06-07,C.37,Lambda,VOI,1174,0
1,2021-09-16T12:56:39Z,2021-06-07,B.1.1.7,Alpha,"",1174,1020
1,2021-09-16T12:56:39Z,2021-06-07,B.1.525,Eta,"",1174,2
1,2021-09-16T12:56:39Z,2021-06-07,B.1.617.1,Kappa,"",1174,4
1,2021-09-16T12:56:39Z,2021-06-07,B.1.526,Iota,"",1174,0
1,2021-09-16T12:56:39Z,2021-06-14,B.1.351,Beta,VOC,1038,1
1,2021-09-16T12:56:39Z,2021-06-14,P.1,Gamma,VOC,1038,16
1,2021-09-16T12:56:39Z,2021-06-14,B.1.617.2,Delta,VOC,1038,240
1,2021-09-16T12:56:39Z,2021-06-14,B.1.620,"",VOI,1038,0
1,2021-09-16T12:56:39Z,2021-06-14,B.1.621,Mu,VOI,1038,8
1,2021-09-16T12:56:39Z,2021-06-14,C.37,Lambda,VOI,1038,0
1,2021-09-16T12:56:39Z,2021-06-14,B.1.1.7,Alpha,"",1038,725
1,2021-09-16T12:56:39Z,2021-06-14,B.1.525,Eta,"",1038,4
1,2021-09-16T12:56:39Z,2021-06-14,B.1.617.1,Kappa,"",1038,6
1,2021-09-16T12:56:39Z,2021-06-14,B.1.526,Iota,"",1038,0
1,2021-09-16T12:56:39Z,2021-06-21,B.1.351,Beta,VOC,679,1
1,2021-09-16T12:56:39Z,2021-06-21,P.1,Gamma,VOC,679,7
1,2021-09-16T12:56:39Z,2021-06-21,B.1.617.2,Delta,VOC,679,275
1,2021-09-16T12:56:39Z,2021-06-21,B.1.620,"",VOI,679,0
1,2021-09-16T12:56:39Z,2021-06-21,B.1.621,Mu,VOI,679,3
1,2021-09-16T12:56:39Z,2021-06-21,C.37,Lambda,VOI,679,1
1,2021-09-16T12:56:39Z,2021-06-21,B.1.1.7,Alpha,"",679,375
1,2021-09-16T12:56:39Z,2021-06-21,B.1.525,Eta,"",679,0
1,2021-09-16T12:56:39Z,2021-06-21,B.1.617.1,Kappa,"",679,1
1,2021-09-16T12:56:39Z,2021-06-21,B.1.526,Iota,"",679,0
1,2021-09-16T12:56:39Z,2021-06-28,B.1.351,Beta,VOC,928,1
1,2021-09-16T12:56:39Z,2021-06-28,P.1,Gamma,VOC,928,3
1,2021-09-16T12:56:39Z,2021-06-28,B.1.617.2,Delta,VOC,928,630
1,2021-09-16T12:56:39Z,2021-06-28,B.1.620,"",VOI,928,0
1,2021-09-16T12:56:39Z,2021-06-28,B.1.621,Mu,VOI,928,4
1,2021-09-16T12:56:39Z,2021-06-28,C.37,Lambda,VOI,928,1
