"date","IC_capaciteit_totaal","kliniek_capaciteit_totaal","IC_bezetting_covid","IC_bezetting_covid_internationaal","IC_bezetting_ontlabeld","IC_bezetting_noncovid","kliniek_bezetting_covid","kliniek_bezetting_ontlabeld","kliniek_bezetting_noncovid","IC_opnames_covid","kliniek_opnames_covid","Kliniek_Bedden_Nederland","IC_Bedden_COVID_Nederland","Totaal_Bezetting","IC_Opnames_7d","Kliniek_Opnames_7d","Totaal_opnames","Totaal_opnames_7d","Totaal_IC","IC_opnames_14d","Kliniek_opnames_14d","OMT_Check_IC","OMT_Check_Kliniek","Kliniek_Bedden_7d","IC_Bedden_7d","Totaal_Bedden_7d","IC_Bedden_14d","Kliniek_Bedden_14d","Totaal_Bedden_14d","OMT_Check_IC_Bezetting","OMT_Check_Kliniek_Bezetting","OMT_Check_Totaal_Bezetting"
2021-04-16,1417,15607,723,0,69,426,1375,323,12046,51,242,1698,792,2490,46.2857142857143,244.428571428571,293,290.714285714286,792,52.5714285714286,235.428571428571,88,103.8,1726,789.714285714286,2515.71428571429,759.714285714286,1685.28571428571,2445,103.9,102.4,102.9
2021-04-15,1407,15401,718,0,71,421,1386,302,12032,39,232,1688,789,2477,45.4285714285714,247.285714285714,271,292.714285714286,789,53,237.428571428571,85.7,104.2,1727.85714285714,788.571428571429,2516.42857142857,748.428571428571,1673,2421.42857142857,105.4,103.3,103.9
2021-04-14,1412,15607,715,0,69,430,1410,305,12286,46,228,1715,784,2499,48,252.571428571429,274,300.571428571429,784,53.5714285714286,238.428571428571,89.6,105.9,1733.42857142857,789.857142857143,2523.28571428571,732.714285714286,1660.42857142857,2393.14285714286,107.8,104.4,105.4
2021-04-13,1406,15596,726,0,68,454,1453,307,12222,45,261,1760,794,2554,49.5714285714286,260.714285714286,306,310.285714285714,794,51.4285714285714,234.428571428571,96.4,111.2,1743,788.714285714286,2531.71428571429,719.142857142857,1642,2361.14285714286,109.7,106.2,107.2
2021-04-12,1400,15307,724,0,70,387,1473,315,11361,45,226,1788,794,2582,49.4285714285714,253,271,302.428571428571,794,52.2857142857143,246.714285714286,94.5,102.5,1741.28571428571,782.428571428571,2523.71428571429,709.428571428571,1639.14285714286,2348.57142857143,110.3,106.2,107.5
2021-04-11,1370,14979,726,0,62,375,1434,295,10764,45,218,1729,788,2517,51.2857142857143,250,263,301.285714285714,788,49.1428571428571,244.285714285714,104.4,102.3,1718.42857142857,775.571428571429,2494,699.285714285714,1644.71428571429,2344,110.9,104.5,106.4
2021-04-10,1368,15407,721,0,66,404,1417,287,11480,53,304,1704,787,2491,52.4285714285714,244.142857142857,357,296.571428571429,787,47.4285714285714,245,110.5,99.7,1698.14285714286,767.285714285714,2465.42857142857,688.571428571429,1645.57142857143,2334.14285714286,111.4,103.2,105.6
2021-04-09,1368,15411,718,0,66,421,1429,282,12233,45,262,1711,784,2495,52.5714285714286,235.428571428571,307,288,784,47,252.571428571429,111.9,93.2,1685.28571428571,759.714285714286,2445,675.571428571429,1642.85714285714,2318.42857142857,112.5,102.6,105.5
2021-04-08,1363,15751,737,0,61,435,1461,266,12332,57,269,1727,798,2525,53,237.428571428571,326,290.428571428571,798,46.4285714285714,247.428571428571,114.2,96,1673,748.428571428571,2421.42857142857,664.142857142857,1638.71428571429,2302.85714285714,112.7,102.1,105.1
2021-04-07,1347,15695,713,0,63,429,1515,267,12012,57,285,1782,776,2558,53.5714285714286,238.428571428571,342,292,776,42.5714285714286,243.571428571429,125.8,97.9,1660.42857142857,732.714285714286,2393.14285714286,654.285714285714,1629.28571428571,2283.57142857143,112,101.9,104.8
